1,1,1,1,2,1,3,1,1,2
2,1,1,2,2,1,1,1,1,2
5,1,1,1,2,1,3,1,1,2
9,6,9,2,10,6,2,9,10,4
7,5,6,10,5,10,7,9,4,4
10,3,5,1,10,5,3,10,2,4
2,3,4,4,2,5,2,5,1,4
4,1,2,1,2,1,3,1,1,2
8,2,3,1,6,3,7,1,1,4
10,10,10,10,10,1,8,8,8,4
7,3,4,4,3,3,3,2,7,4
10,10,10,8,2,10,4,1,1,4
1,6,8,10,8,10,5,7,1,4
1,1,1,1,2,1,2,3,1,2
6,5,4,4,3,9,7,8,3,4
1,3,1,2,2,2,5,3,2,2
8,6,4,3,5,9,3,1,1,4
10,3,3,10,2,10,7,3,3,4
10,10,10,3,10,8,8,1,1,4
3,3,2,1,2,3,3,1,1,2
4,5,5,10,4,10,7,5,8,4
1,1,1,1,4,3,1,1,1,2
3,2,1,1,2,2,3,1,1,2
1,1,2,2,2,1,3,1,1,2
